Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats
429,85,95,70,91,88,15,14,8,2231,466
437,84,95,90,82,86,15,14,11,2221,464
95,13,11,15,43,13,78,90,90,1413,489
407,94,82,55,94,82,5,10,13,2304,485
408,85,87,62,87,87,15,15,11,2175,451
423,71,94,85,84,89,12,8,10,2195,457
392,79,91,59,84,79,9,11,14,2211,470
114,17,13,19,45,20,85,91,89,1389,490
408,78,91,73,83,83,7,11,6,2147,466
118,18,14,11,61,14,88,88,90,1442,484
316,53,52,87,79,45,13,11,11,2112,455
410,76,90,84,85,75,15,7,14,2203,469
349,58,64,80,84,63,16,12,12,2220,463
86,14,14,13,33,12,74,85,88,1325,468
119,15,13,25,55,11,91,86,89,1515,497
426,75,88,91,86,86,5,5,7,2111,442
374,66,65,92,82,69,9,7,11,2258,463
411,70,94,78,83,86,6,11,14,2118,439
360,78,85,46,84,67,12,15,9,2111,455
328,68,65,54,85,56,10,7,10,2169,468
383,91,66,72,87,67,7,15,15,2269,473
405,82,84,64,87,88,4,5,8,2154,452
123,20,14,14,57,18,93,86,88,1534,498
420,75,94,85,81,85,11,14,11,2172,449
86,12,10,10,42,12,73,89,89,1317,477
224,30,22,84,74,14,7,13,5,1734,401
388,77,82,61,85,83,6,8,8,2105,446
397,88,76,58,93,82,13,7,10,2150,447
425,83,88,83,84,87,14,13,14,2288,465
373,83,81,38,88,83,10,11,13,1986,430
365,93,56,69,85,62,14,6,7,2220,464
371,85,79,51,86,70,14,12,9,2124,451
328,90,57,67,82,32,10,7,14,2127,461
311,58,45,86,82,40,5,14,5,1983,422
396,87,77,58,88,86,15,8,14,2303,476
345,75,63,75,85,47,6,8,8,2171,460
399,81,86,68,83,81,13,6,10,2128,453
400,73,80,75,87,85,9,6,10,2208,467
78,11,15,11,30,11,75,82,90,1380,471
280,54,33,83,65,45,2,4,3,1830,399
330,62,67,68,89,44,13,9,13,2021,424
403,76,91,75,77,84,15,9,9,2072,441
86,12,12,16,32,14,73,87,88,1317,465
379,88,79,51,83,78,11,12,11,2168,453
380,86,72,55,91,76,7,14,9,2252,463
429,80,92,84,83,90,31,33,37,2316,459
94,13,10,10,50,11,68,84,90,1361,476
394,55,93,81,80,85,15,12,6,2057,438
419,85,85,81,84,84,11,14,14,2117,437
114,17,13,21,50,13,78,82,89,1449,476
339,84,51,72,83,49,15,9,15,2133,454
293,42,46,85,78,42,9,5,14,1933,428
344,75,60,55,90,64,15,15,10,2168,445
400,80,75,75,86,84,2,4,3,2235,476
390,68,92,79,69,82,7,15,11,2119,447
344,57,65,84,81,57,14,15,8,1991,422
349,65,55,87,82,60,10,5,6,2040,431
84,13,13,10,40,8,85,87,85,1366,474
383,84,72,53,92,82,7,6,12,2060,421
359,83,80,38,86,72,12,9,6,2065,435
372,85,73,70,84,60,13,6,13,2224,471
377,82,73,65,86,71,7,9,13,2220,465
346,63,64,75,85,59,7,14,8,2093,448
389,64,80,86,85,74,7,16,7,2225,475
386,83,83,65,81,74,6,12,10,2095,446
400,73,85,78,84,80,11,10,12,2058,441
308,52,50,86,75,45,11,12,10,1988,435
277,40,42,82,73,40,12,8,12,1813,403
382,77,83,68,81,73,15,7,14,2149,461
78,12,12,12,34,8,76,83,89,1330,468
368,79,85,42,79,83,10,9,7,2071,442
402,83,81,72,81,85,9,9,14,2086,444
374,88,73,53,86,74,11,8,14,2096,443
292,55,39,83,78,37,9,12,7,1930,419
298,68,33,84,82,31,12,10,13,1962,421
366,83,79,48,80,76,13,11,6,2034,430
352,82,63,65,83,59,15,11,11,2191,467
399,69,88,78,78,86,8,15,9,2026,435
394,86,83,61,92,72,12,14,8,2170,444
386,47,90,88,76,85,5,7,9,1946,405
363,75,63,66,90,69,10,10,9,2185,468
374,83,75,59,83,74,14,9,10,2001,420
308,64,45,82,79,38,14,16,14,2031,423
322,60,40,81,80,61,5,9,10,2037,420
361,85,72,61,87,56,5,10,13,2208,465
91,9,9,13,50,10,80,84,86,1372,474
400,73,86,85,79,77,14,7,10,2019,437
364,84,55,76,81,68,9,12,5,2178,465
373,78,68,54,89,84,7,9,13,2179,443
341,81,51,74,78,57,16,15,8,2188,470
385,86,77,52,90,80,7,7,6,2090,438
94,16,10,23,35,10,82,84,86,1315,464
311,44,48,84,77,58,3,2,4,1967,421
355,79,84,40,82,70,8,10,4,2023,423
368,76,77,49,90,76,6,12,11,2048,438
305,52,42,85,79,47,15,5,15,1875,396
386,72,75,78,88,73,14,12,6,2267,475
359,81,56,60,90,72,13,7,8,2181,449
389,85,86,44,85,89,13,13,11,2147,443
321,50,50,76,79,66,7,7,13,2120,446
262,47,37,78,70,30,7,10,15,1761,388
93,15,12,20,33,13,87,82,86,1458,482
375,81,77,54,84,79,11,8,9,2083,445
380,82,84,60,81,73,10,13,11,2039,431
387,56,86,84,78,83,8,8,13,2115,451
356,46,87,67,74,82,13,11,7,2027,438
371,89,65,67,83,67,12,11,14,2282,478
360,77,76,52,78,77,5,3,5,1947,421
344,84,52,66,81,61,10,7,13,2183,461
352,73,70,58,88,63,13,11,12,2163,454
253,34,22,86,78,33,14,7,15,1697,385
365,82,80,37,87,79,8,11,8,2148,453
383,72,85,71,80,75,8,15,11,2065,446
285,45,39,84,73,44,14,9,7,1821,394
389,75,79,82,84,69,15,11,9,2255,480
391,69,78,83,85,76,12,10,9,2213,464
353,74,68,68,87,56,9,9,7,2197,476
402,74,88,74,82,84,9,7,7,2080,433
345,82,57,84,78,44,10,15,16,2096,448
405,73,84,85,81,82,13,14,10,2120,450
359,72,69,70,83,65,15,11,8,2176,455
367,87,60,71,81,68,9,6,13,2215,462
90,15,8,17,37,13,72,82,88,1286,456
394,82,85,58,86,83,8,12,6,2046,436
389,82,78,65,80,84,14,11,11,2034,434
366,80,78,45,85,78,9,9,15,2167,452
360,78,76,55,84,67,12,15,6,2080,433
368,80,60,76,85,67,14,15,9,2247,466
295,60,53,69,81,32,8,12,13,2086,443
378,84,69,71,79,75,10,14,9,2188,455
408,80,89,77,79,83,9,12,13,2063,429
355,82,64,50,83,76,9,12,5,2070,438
256,49,25,82,73,27,7,14,13,1823,400
364,68,66,71,86,73,5,13,7,2192,456
338,63,62,72,82,59,8,5,6,2082,434
331,81,46,75,78,51,10,6,5,2075,431
69,13,10,11,23,12,76,84,82,1260,457
